id,brand,type,color,price,stock,refillable
1,Parker,Golyóstoll,Kék,2490,15,1
2,Parker,Golyóstoll,Fekete,2590,12,1
3,Parker,Töltőtoll,Kék,8990,5,1
4,BIC,Golyóstoll,Kék,290,120,0
5,BIC,Golyóstoll,Fekete,290,150,0
6,BIC,Golyóstoll,Piros,290,90,0
7,Faber-Castell,Ceruza,Fekete,350,200,0
8,Faber-Castell,Ceruza,Piros,390,180,0
9,Faber-Castell,Ceruza,Kék,390,170,0
10,Faber-Castell,Filctoll,Zöld,690,80,0
11,Faber-Castell,Filctoll,Kék,690,85,0
12,Faber-Castell,Filctoll,Piros,690,75,0
13,Stabilo,Filctoll,Sárga,790,60,0
14,Stabilo,Filctoll,Narancs,790,55,0
15,Stabilo,Filctoll,Rózsaszín,790,50,0
16,Stabilo,Golyóstoll,Kék,990,40,1
17,Stabilo,Golyóstoll,Fekete,990,45,1
18,Pilot,Golyóstoll,Kék,1190,35,1
19,Pilot,Golyóstoll,Fekete,1190,38,1
20,Pilot,Golyóstoll,Piros,1190,30,1
21,Pilot,Töltőtoll,Kék,6990,12,1
22,Pilot,Töltőtoll,Fekete,6990,10,1
23,Maped,Ceruza,Fekete,240,250,0
24,Maped,Ceruza,Kék,260,220,0
25,Maped,Ceruza,Zöld,260,210,0
26,Maped,Filctoll,Kék,550,95,0
27,Maped,Filctoll,Piros,550,90,0
28,Maped,Filctoll,Zöld,550,85,0
29,Uni-Ball,Golyóstoll,Kék,1490,25,1
30,Uni-Ball,Golyóstoll,Fekete,1490,22,1
31,Uni-Ball,Golyóstoll,Piros,1490,20,1
32,Uni-Ball,Zseléstoll,Kék,1690,18,1
33,Uni-Ball,Zseléstoll,Fekete,1690,17,1
34,Uni-Ball,Zseléstoll,Piros,1690,16,1
35,Pentel,Zseléstoll,Kék,1290,28,1
36,Pentel,Zseléstoll,Fekete,1290,30,1
37,Pentel,Zseléstoll,Lila,1290,24,1
38,Pentel,Filctoll,Zöld,890,45,0
39,Pentel,Filctoll,Kék,890,42,0
40,Pentel,Filctoll,Piros,890,40,0
41,Rotring,Ceruza,Fekete,3490,14,1
42,Rotring,Ceruza,Ezüst,3590,11,1
43,Rotring,Golyóstoll,Fekete,3990,8,1
44,Rotring,Golyóstoll,Kék,3990,9,1
45,Lamy,Töltőtoll,Kék,10990,6,1
46,Lamy,Töltőtoll,Fekete,10990,5,1
47,Lamy,Golyóstoll,Kék,4990,13,1
48,Lamy,Golyóstoll,Fekete,4990,12,1
49,Schneider,Golyóstoll,Kék,790,65,1
50,Schneider,Golyóstoll,Fekete,790,70,1
